日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2018-03-09,'399006,创业板指,1856.4554,1858.028,1793.924,1794.2543,1793.2216,63.2338,3.5263,2795514742,43628201555.2
2018-03-08,'399006,创业板指,1793.2216,1795.8172,1781.4561,1783.1036,1785.2696,7.952,0.4454,1391903853,22716800808.7
2018-03-07,'399006,创业板指,1785.2696,1800.4506,1780.296,1795.1742,1797.6095,-12.3399,-0.6865,1582019949,24795584734.5
2018-03-06,'399006,创业板指,1797.6095,1810.2557,1790.5427,1798.0348,1795.6928,1.9167,0.1067,1953134524,31983007630.8
2018-03-05,'399006,创业板指,1795.6928,1795.6928,1768.8814,1780.8221,1772.0054,23.6874,1.3368,1671133970,26712809313.0
2018-03-02,'399006,创业板指,1772.0054,1804.2504,1767.9007,1777.4579,1789.8488,-17.8434,-0.9969,2072233082,32519576663.7
2018-03-01,'399006,创业板指,1789.8488,1789.8488,1741.0284,1744.3405,1753.6274,36.2214,2.0655,2319276568,35260652185.8
2018-02-28,'399006,创业板指,1753.6274,1773.7326,1723.395,1730.152,1743.5413,10.0861,0.5785,2164076306,33627712850.8
2018-02-27,'399006,创业板指,1743.5413,1757.3743,1728.3112,1729.9369,1729.1527,14.3886,0.8321,2284075241,35145173008.2
2018-02-26,'399006,创业板指,1729.1527,1733.7081,1673.9535,1683.1462,1668.8345,60.3182,3.6144,1992136497,31505927863.9
2018-02-23,'399006,创业板指,1668.8345,1681.2445,1656.9532,1674.6236,1677.7647,-8.9302,-0.5323,1252009197,19167872750.0
2018-02-22,'399006,创业板指,1677.7647,1679.7936,1650.8754,1661.5586,1646.7714,30.9933,1.8821,1400531539,21058909191.2
2018-02-14,'399006,创业板指,1646.7714,1652.009,1633.7621,1649.573,1648.5816,-1.8102,-0.1098,1002437795,14837087755.7
2018-02-13,'399006,创业板指,1648.5816,1669.0786,1644.8655,1657.1278,1648.0721,0.5095,0.0309,1491516655,23062872042.3
2018-02-12,'399006,创业板指,1648.0721,1654.6537,1604.5617,1604.5617,1592.5102,55.5619,3.489,1670387810,24556171267.1
2018-02-09,'399006,创业板指,1592.5102,1629.356,1576.8856,1598.4754,1641.4307,-48.9205,-2.9804,2087645978,29316049828.1
2018-02-08,'399006,创业板指,1641.4307,1651.5859,1608.6313,1608.7295,1616.4003,25.0304,1.5485,1826038931,26057068472.5
2018-02-07,'399006,创业板指,1616.4003,1637.7767,1571.4705,1632.8716,1598.1161,18.2842,1.1441,2270200263,31783593092.8
2018-02-06,'399006,创业板指,1598.1161,1675.5631,1597.8857,1653.447,1688.2724,-90.1563,-5.3402,2027177810,29407277279.4
2018-02-05,'399006,创业板指,1688.2724,1698.2811,1674.9753,1678.1874,1702.4264,-14.154,-0.8314,1489730902,22158856716.2
2018-02-02,'399006,创业板指,1702.4264,1726.8897,1676.2426,1683.179,1697.39,5.0364,0.2967,1771725421,26715222491.9
2018-02-01,'399006,创业板指,1697.39,1746.5451,1697.39,1735.6633,1735.057,-37.667,-2.1709,1902954178,28630084645.8
2018-01-31,'399006,创业板指,1735.057,1767.7766,1732.9799,1766.7667,1782.399,-47.342,-2.6561,2011389247,30368533583.9
2018-01-30,'399006,创业板指,1782.399,1808.0106,1779.3301,1794.3275,1799.7709,-17.3719,-0.9652,1771170739,26869541029.9
2018-01-29,'399006,创业板指,1799.7709,1826.097,1791.578,1811.5422,1816.8003,-17.0294,-0.9373,2226394477,34735723839.6
2018-01-26,'399006,创业板指,1816.8003,1830.5473,1809.1313,1809.1313,1810.8346,5.9657,0.3294,2020478986,31592970402.7
2018-01-25,'399006,创业板指,1810.8346,1852.2259,1807.5149,1811.1143,1813.2751,-2.4405,-0.1346,2959538879,46192526241.3
2018-01-24,'399006,创业板指,1813.2751,1817.0838,1752.3042,1763.6864,1767.829,45.4461,2.5707,2749470267,44774741009.5
2018-01-23,'399006,创业板指,1767.829,1776.4945,1760.339,1767.3304,1768.214,-0.385,-0.0218,1358853808,23082959807.1
2018-01-22,'399006,创业板指,1768.214,1776.1814,1715.4275,1726.3173,1728.1396,40.0744,2.3189,1891202901,30346355010.5
2018-01-19,'399006,创业板指,1728.1396,1745.5924,1726.5274,1735.0304,1738.0019,-9.8623,-0.5675,1345378952,21963665052.2
2018-01-18,'399006,创业板指,1738.0019,1754.6164,1734.7749,1735.4592,1742.0344,-4.0325,-0.2315,1114188507,17553593535.4
2018-01-17,'399006,创业板指,1742.0344,1750.0626,1697.6244,1722.4515,1729.5974,12.437,0.7191,1608962731,25410760153.8
2018-01-16,'399006,创业板指,1729.5974,1740.8451,1720.6493,1729.5591,1732.6225,-3.0251,-0.1746,1331472584,22015659109.6
2018-01-15,'399006,创业板指,1732.6225,1780.1947,1727.0046,1778.7937,1785.705,-53.0825,-2.9726,1645613538,25930842295.2
2018-01-12,'399006,创业板指,1785.705,1802.5222,1785.6081,1800.8856,1804.2349,-18.5299,-1.027,1218391470,20602016240.7
2018-01-11,'399006,创业板指,1804.2349,1807.1505,1776.0085,1787.3847,1791.0845,13.1504,0.7342,1463139130,24863597761.8
2018-01-10,'399006,创业板指,1791.0845,1804.7265,1780.0987,1803.6013,1803.5858,-12.5013,-0.6931,1284248809,22500373778.6
2018-01-09,'399006,创业板指,1803.5858,1808.6582,1799.4186,1803.364,1806.1562,-2.5704,-0.1423,1171244377,20472927246.6
2018-01-08,'399006,创业板指,1806.1562,1806.1562,1785.38,1801.1756,1801.4185,4.7377,0.263,1442358483,25167876579.0
2018-01-05,'399006,创业板指,1801.4185,1804.8781,1795.2551,1797.2577,1794.6087,6.8098,0.3795,1232893117,22670739852.3
2018-01-04,'399006,创业板指,1794.6087,1795.2533,1788.5368,1790.6533,1795.3831,-0.7744,-0.0431,1129380127,20410560887.1
